id;Full_Name;Project_id;Nomination;Prize;Login;Password
1;Автоном Димитриевич Гуляев;7851;Меняющие реальность;2874000;АДГуляев;0ETzIGqAOV
2;Ольга Матвеевна Журавлева;2578;Проект будущего;2910000;ОМЖуравлева;U)k2Fea8)u
3;Спартак Ефстафьевич Ильин;5981;Проект будущего;2373000;СЕИльин;5OgkR(KTyP
4;Антонина Александровна Архипова;2706;Двигатель прогресса;676000;АААрхипова;6)rXuZDkmK
5;Никандр Яковлевич Соловьев;9961;Меняющие реальность;1452000;НЯСоловьев;8DxAz.2j1d
6;Святослав Тихонович Казаков;8349;Двигатель прогресса;935000;СТКазаков;g4KyjNNk(I
7;Дементий Филатович Потапов;8009;Меняющие реальность;2701000;ДФПотапов;KLHAVQ1H3B
8;Фёкла Тарасовна Филиппова;2726;Лидеры инноваций;2905000;ФТФилиппова;hh9tpVvRuQ
9;Андрей Федотович Гришин;2088;Молодой новатор;2382000;АФГришин;hwX5bg1oy0
10;Творимир Юльевич Федоров;5981;Проект будущего;2693000;ТЮФедоров;(kzoJ1echL
11;Акулина Ефимовна Суханова;3760;Двигатель прогресса;980000;АЕСуханова;wF8Apd(OHt
12;Богдан Давидович Прохоров;8080;Молодой новатор;1900000;БДПрохоров;ore2xGeiwQ
13;Гордей Артемьевич Щербаков;1728;Лидеры инноваций;1369000;ГАЩербаков;XGkQ9!une(
14;Анна Александровна Владимирова;3554;Меняющие реальность;2723000;ААВладимирова;DHqL!M52fl
15;Глеб Гурьевич Селезнев;7702;Меняющие реальность;1801000;ГГСелезнев;0jnG1INpLF
16;Спартак Владиленович Моисеев;6986;Двигатель прогресса;NULL;СВМоисеев;TaE5tOlBgp
17;Август Давыдович Крюков;7318;Молодой новатор;380000;АДКрюков;EhWP.Awbn9
18;Автоном Афанасьевич Моисеев;5121;Двигатель прогресса;2636000;ААМоисеев;5Jq6wHErox
19;Карл Адамович Кузнецов;2414;Молодой новатор;NULL;КАКузнецов;DxbxS)ZNtL
20;Лука Трифонович Сафонов;3973;Двигатель прогресса;1801000;ЛТСафонов;?a.272OiWY
21;Агата Никифоровна Жукова;9175;Лидеры инноваций;1165000;АНЖукова;NB1O93R.(y
22;Софрон Елисеевич Иванов;3296;Проект будущего;2827000;СЕИванов;V1Po)0p)Ji
23;Антонина Константиновна Егорова;2308;Меняющие реальность;1779000;АКЕгорова;5P3HE.GlzV
24;Антонина Мироновна Одинцова;7293;Проект будущего;1690000;АМОдинцова;JhfXJ2y.Ga
25;Маргарита Яковлевна Игнатова;2866;Меняющие реальность;2949000;МЯИгнатова;iDtem1NYyR
26;Автоном Марсович Савин;7416;Молодой новатор;2289000;АМСавин;XE1gkkRrVl
27;Пелагея Викторовна Игнатьева;9891;Двигатель прогресса;499000;ПВИгнатьева;aWPpyHqt)W
28;Елисей Даниилович Карпов;5260;Лидеры инноваций;1882000;ЕДКарпов;FSM13ooZoK
29;Трофим Феоктистович Терентьев;2034;Двигатель прогресса;1171000;ТФТерентьев;PMT3CL5Kio
30;Татьяна Святославовна Копылова;1088;Меняющие реальность;731000;ТСКопылова;np07pmIFpx
31;Касьян Трифонович Егоров;1883;Меняющие реальность;2470000;КТЕгоров;uKuiO7MU8h
32;Олимпий Анатольевич Юдин;3468;Лидеры инноваций;1752000;ОАЮдин;yhQA.lvWEO
33;Алевтина Вадимовна Васильева;8815;Молодой новатор;2138000;АВВасильева;XzRU4keAm2
34;Агафья Константиновна Герасимова;6986;Двигатель прогресса;1490000;АКГерасимова;yfMfkPn21Z
35;Фрол Федосьевич Шарапов;4535;Двигатель прогресса;2017000;ФФШарапов;heRiIYxs4H
